time,team,event,subevent,zone
0:00:00,saik,avslag,0,z2
0:00:09,saik,passning,lång,z9
0:00:13,iks,boll,0,z7
0:00:19,saik,närkamp,0,z6
0:00:31,iks,närkamp,0,z7
0:00:41,saik,boll,0,z2
0:01:01,iks,närkamp,0,z8
0:01:06,iks,passning,lång,0
0:01:08,iks,närkamp,0,z2
0:01:14,iks,skott,utanför,z2
0:01:17,iks,skottyp,dribbling,z2
0:01:18,saik,utkast,0,0
0:01:34,iks,närkamp,0,z9
0:01:38,saik,närkamp,0,z6
0:01:52,saik,passning,lång,z8
0:01:55,saik,närkamp,0,z8
0:02:00,saik,skott,räddning,z8
0:02:04,saik,skottyp,centralt,z8
0:02:07,saik,skott,utanför,z8
0:02:12,saik,skottyp,utifrån,z8
0:02:14,saik,utkast,0,0
0:02:24,saik,brytning,0,z2
0:02:30,saik,närkamp,0,z4
0:02:36,iks,närkamp,0,z4
0:02:44,saik,rensning,0,z2
0:03:19,iks,passning,lång,z2
0:03:22,iks,närkamp,0,z2
0:03:32,saik,närkamp,0,z2
0:03:42,iks,utkast,0,z7
0:03:52,saik,närkamp,0,z7
0:03:54,iks,närkamp,0,z8
0:04:06,iks,bolltapp,tappad,z4
0:04:13,saik,hörna,0,z9
0:04:42,saik,skott,täckt,z8
0:04:45,saik,skottyp,fast,z8
0:04:47,iks,utkast,0,0
0:05:14,iks,passning,straffområde,z2
0:05:16,saik,rensning,0,0
0:05:28,saik,utkast,0,z1
0:05:44,iks,rensning,0,z8
0:05:49,iks,närkamp,0,z4
0:05:57,iks,skott,räddning,z2
0:06:00,iks,skottyp,utifrån,z2
0:06:03,saik,utkast,0,0
0:06:20,saik,skott,täckt,z8
0:06:23,saik,skottyp,utifrån,z8
0:06:28,saik,hörna,0,z7
0:07:21,iks,brytning,0,z8
0:07:22,iks,rensning,0,0
0:07:41,iks,brytning,0,z6
0:07:56,saik,utkast,0,z3
0:08:05,saik,passning,lång,0
0:08:13,saik,passning,straffområde,z8
0:08:17,saik,närkamp,0,z8
0:08:26,saik,bolltapp,tappad,z3
0:08:39,iks,närkamp,0,z4
0:08:43,iks,passning,lång,0
0:08:46,saik,boll,0,z1
0:08:55,iks,inslag,0,z4
0:09:12,iks,bolltapp,passförsök,z4
0:09:39,saik,närkamp,0,z9
0:09:57,iks,utkast,0,z9
0:10:16,saik,närkamp,0,z7
0:10:27,saik,frislag,0,z7
0:10:40,0,timeout,0,0
0:11:02,saik,närkamp,0,z7
0:11:06,saik,passning,straffområde,z8
0:11:08,iks,brytning,0,z8
0:11:22,iks,straff,0,z2
0:12:07,iks,mål,straffmål,z2
0:12:11,iks,skottyp,fast,z2
0:12:34,saik,avslag,0,z2
0:12:56,iks,brytning,0,z4
0:13:25,iks,inslag,0,z6
0:13:57,iks,passning,straffområde,z2
0:13:59,iks,skott,täckt,z2
0:14:02,iks,skottyp,utifrån,z2
0:14:08,saik,närkamp,0,z3
0:14:22,saik,frislag,0,z9
0:15:08,saik,skott,räddning,z8
0:15:12,saik,skottyp,centralt,z8
0:15:14,saik,hörna,0,z7
0:15:38,saik,skott,räddning,z8
0:15:42,saik,skottyp,fast,z8
0:16:08,saik,skott,räddning,z8
0:16:12,saik,skottyp,dribbling,z8
0:16:14,iks,utkast,0,0
0:16:30,iks,skott,täckt,z2
0:16:33,iks,skottyp,utifrån,z2
0:17:09,saik,närkamp,0,z6
0:17:21,iks,utkast,0,z7
0:17:36,iks,närkamp,0,z6
0:18:17,iks,närkamp,0,z4
0:18:21,iks,skott,räddning,z2
0:18:24,iks,skottyp,utifrån,z2
0:18:26,iks,hörna,0,z1
0:18:57,iks,mål,hörnmål,z2
0:19:00,iks,skottyp,fast,z2
